taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Abdulkerim	*	28
Abdulkjerim	*	4
Abdull	*	9
Abdulla	*	55
Abdullah	*	700
Abdullahat	*	3
Abdullahi	*	107
Abdullatif	*	13
Abdulle	*	3
Abdulmajeed	*	3
Abdulmalek	*	6
Abdulmalik	*	11
Abdulmecit	*	4
Abdulmohsen	*	3
Abdulnaser	*	10
Abdulqaadir	*	3
Abdulqader	*	3
Abdulqadir	*	12
Abdulrahim	*	21
Abdulrahman	*	113
Abdulrazak	*	13
Abdulrazzak	*	3
Abdulrazzaq	*	4
Abdulrehman	*	3
Abdulrezak	*	3
Abdulsalam	*	19
Abdulsamet	*	7
Abdulsami	*	3
Abdulsattar	*	3
Abdulselam	*	10
Abdulsukur	*	4
Abdulvahap	*	8
Abdulvait	*	6
Abdulveap	*	4
Abdulwahab	*	14
Abdulwahid	*	3
Abduqadir	*	3
Abdur	*	14
Abdurahim	*	20
Abdurahman	*	61
Abduraim	*	3
Abduraman	*	9
Abdurezak	*	8
Abdurrahim	*	24
Abdurrahman	*	106
Abdus	*	3
Abduselam	*	12
Abdussamed	*	3
Abdyl	*	25
Abdylaziz	*	3
Abdül	*	3
Abdülhamid	*	5
Abdülhamit	*	3
Abdülkadir	*	11
Abdülkerim	*	5
Abe	*	4
Abeba	83	*
Abebaw	*	3
Abebe	*	12
Abebech	6	*
Abed	*	43
Abedin	*	166
Abedom	*	3
Abeena	3	*
Abeer	43	*
Abeesan	*	3
Abegail	5	*
Abeil	*	3
Abel	*	755
Abelardo	*	16
Abele	*	23
Abelia	3	*
Abelina	6	*
Abeline	3	*
Abem	*	3
Abena	11	*
Abenan	3	*
Abenaya	4	*
Abenezer	*	13
Aberash	5	*
Abesa	3	*
Abeselom	*	4
Abetare	46	*
Abha	6	*
Abhay	*	9
Abhi	*	3
Abhigyan	*	3
Abhijeet	*	4
Abhijit	*	12
Abhilash	*	10
Abhilasha	3	*
Abhimanyu	*	14
Abhinav	*	21
Abhiraj	*	3
Abhiram	*	4
Abhisek	*	3
Abhishek	*	66
Abi	10	12
Abia	3	*
Abib	*	16
Abiba	9	*
Abibatou	3	*
Abibe	65	*
Abid	*	40
Abida	24	*
Abidan	*	3
Abide	21	*
Abidin	*	76
Abiel	*	62
Abier	3	*
Abigael	38	*
Abigaelle	16	*
Abigail	367	*
Abigale	4	*
Abigayl	5	*
